headword,headword_clean,homonym,grammar,translation,source,raw
НАХ-ЦЦЕБЕССАН,НАХ-ЦЦЕБЕССАН,,,нареч. понаслышке,Саидова 2019 — Андалальский диалект,нареч. понаслышке; нах-ццебессан рагIараб хабар рассказ понаслышке
НА́,НА́,,,"ХЦIЦIА/ДЕ (-ма, -ла, -на, -й) 1) отходить",Саидова 2019 — Андалальский диалект,"ХЦIЦIА/ДЕ (-ма, -ла, -на, -й) 1) отходить; отдаляться от кого-л.; уздасса нахцIцIан чIчIеде отходить от них 2) оттягивать, оттянуть; квар нахцIцIаде оттянуть веревку"
НА́,НА́,,,"ХЦIЦIАДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от на́ хцIцIаде",Саидова 2019 — Андалальский диалект,"ХЦIЦIАДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от на́ хцIцIаде"
НА́,НА́,,,"ХЧIВА/ДЕ (-ма, -ла, -на, -й) 1) отказывать, отказать кому-л. в чемл.; гьари нахчIваде отказать в просьбе 2) отвергать, отвергнуть чтол. 3) оставить после использования, после выбора; хIайназ гIемераб ххер нахчIван буго животные не поели много сена, оставили не поев;",Саидова 2019 — Андалальский диалект,"ХЧIВА/ДЕ (-ма, -ла, -на, -й) 1) отказывать, отказать кому-л. в чемл.; гьари нахчIваде отказать в просьбе 2) отвергать, отвергнуть чтол. 3) оставить после использования, после выбора; хIайназ гIемераб ххер нахчIван буго животные не поели много сена, оставили не поев; бух., сал. на́ хъчIваде, куд. на́ хъечIваде, кд. на́ хчIвазе, суг. на́ хечIваде"
НА́,НА́,,,"ХЧIВАДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от на́ хчIваде",Саидова 2019 — Андалальский диалект,"ХЧIВАДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от на́ хчIваде"
НА́,НА́,,,"ХЧIВА/Й 1. масд. гл. на́ хчIваде 2. (-ялълъ, -ялълъул) 1) отказ 2) отвержение чего-л. 3) отражение, отпор",Саидова 2019 — Андалальский диалект,"ХЧIВА/Й 1. масд. гл. на́ хчIваде 2. (-ялълъ, -ялълъул) 1) отказ 2) отвержение чего-л. 3) отражение, отпор"
НА́,НА́,,,"ХЧIЧI/ЕДЕ (-ама, -ела, -ана, -а) преследовать кого-что-л.; тушманассда нахчIчIеде преследовать врага; ясалълъда нахчIчIеде преследовать девушку (с целью общения, чтобы добиться взаимности);",Саидова 2019 — Андалальский диалект,"ХЧIЧI/ЕДЕ (-ама, -ела, -ана, -а) преследовать кого-что-л.; тушманассда нахчIчIеде преследовать врага; ясалълъда нахчIчIеде преследовать девушку (с целью общения, чтобы добиться взаимности); бух., куд., сал., кег. на́ хъчIчIеде, хин. на́ хччеде, гам. на́ хчIчIезе, кд. на́ хччезе"
НА́,НА́,,,"ХЧIЧIЕДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. заставлять, заставить преследовать",Саидова 2019 — Андалальский диалект,"ХЧIЧIЕДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. заставлять, заставить преследовать; способствовать преследованию"
НА́,НА́,,,"ХЧIЧIЕ/Й 1. масд. гл. на́ хчIчIеде 2. (-ялълъ, -ялълъул) преследование",Саидова 2019 — Андалальский диалект,"ХЧIЧIЕ/Й 1. масд. гл. на́ хчIчIеде 2. (-ялълъ, -ялълъул) преследование"
НАХI,НАХI,,"(нухIу́ д, нухIу́ л)",1) масло; биараб нахI топленое масло; гIакдал нахI масло из коровьего молока; семучкадул нахI масло из подсолнечника; хьудул нахI льняное масло; нахI бахIде смазать маслом; хIочолад нахI тIанде положить масло в кашу; нахI чIваде положить масло во что-л.; нухIул щигат три фунта масла; нухIул гилавка фунт масла; нухIул цIураб кунта замасленное платье; нухIулълъ бежде (по)жарить на масле 2) перен. мозг; гIадал нахI мозг; нахI гьечIаб белэр безмозглая голова 3) перен. механическое масло; машинлълъул нахI машинное масло; гьиркибурдузда нахI бахIде смазать колёса маслом;,Саидова 2019 — Андалальский диалект,"(нухIу́ д, нухIу́ л) 1) масло; биараб нахI топленое масло; гIакдал нахI масло из коровьего молока; семучкадул нахI масло из подсолнечника; хьудул нахI льняное масло; нахI бахIде смазать маслом; хIочолад нахI тIанде положить масло в кашу; нахI чIваде положить масло во что-л.; нухIул щигат три фунта масла; нухIул гилавка фунт масла; нухIул цIураб кунта замасленное платье; нухIулълъ бежде (по)жарить на масле 2) перен. мозг; гIадал нахI мозг; нахI гьечIаб белэр безмозглая голова 3) перен. механическое масло; машинлълъул нахI машинное масло; гьиркибурдузда нахI бахIде смазать колёса маслом; кд., куд., руг. нагь"
НА́,НА́,,,ХIБИКЪ,Саидова 2019 — Андалальский диалект,ХIБИКЪ суг. зонтик одуванчика
НА́,НА́,,,"ХIЦАБ 1) вредный, опасный, плохой, подлый 2) приносящий несчастье",Саидова 2019 — Андалальский диалект,"ХIЦАБ 1) вредный, опасный, плохой, подлый 2) приносящий несчастье; нахIцай цIцIуй женщина, приносящая несчастье; нахIцав чи данде ккугуги пожел. пусть не встретится человек, приносящий неприятности, несчастье"
НА́,НА́,,,"ХIЦЛИ (-ялълъ, -ялълъул) гадость, подлость",Саидова 2019 — Андалальский диалект,"ХIЦЛИ (-ялълъ, -ялълъул) гадость, подлость; невезучесть; нахIцлиялълъе ятана мун от тебя только подлость"
НАЦIЦI,НАЦIЦI,,"(ницIцIѝд, ницIцIѝл, на́ цIцIал)","зоол. вошь; нацIцI баде (за)вшиветь; нацIцI бараб вшивый; нацIцIил цIураб белэр вшивая голова; нацIцI чIваде раздавить вшу (букв. убить вшу) (обычно ногтем)  нацIцI белэдегIан кьапIде бить до потери сознания (букв. бить, пока не погибнут вши); хIинтIила биччани, нацIцI болола бахама погов. если вошь пустить на ногу, то она на голову полезет;",Саидова 2019 — Андалальский диалект,"(ницIцIѝд, ницIцIѝл, на́ цIцIал) зоол. вошь; нацIцI баде (за)вшиветь; нацIцI бараб вшивый; нацIцIил цIураб белэр вшивая голова; нацIцI чIваде раздавить вшу (букв. убить вшу) (обычно ногтем)  нацIцI белэдегIан кьапIде бить до потери сознания (букв. бить, пока не погибнут вши); хIинтIила биччани, нацIцI болола бахама погов. если вошь пустить на ногу, то она на голову полезет; кд., хин. нацц"
НА́,НА́,,,"ЦIЦIИБИЛ (-алълъ, -алълъул) кишмиш, изюм без косточек",Саидова 2019 — Андалальский диалект,"ЦIЦIИБИЛ (-алълъ, -алълъул) кишмиш, изюм без косточек; кишмишалълъул квалиби гроздья изюма"
НАЧА́,НАЧА́,,,"НИКI (-асс, -ассул, -ал) начальник",Саидова 2019 — Андалальский диалект,"НИКI (-асс, -ассул, -ал) начальник; почалълъул начаникI начальник почты; начаникIассул кабинет кабинет начальника; начаникIасс исправкалълъа пичат чIвана начальник заверил справку печатью"
НАЧА́,НАЧА́,,,"НИКIЛИ (-ялълъ, -ялълъул) должность начальника",Саидова 2019 — Андалальский диалект,"НИКIЛИ (-ялълъ, -ялълъул) должность начальника; начаникIли гьубуде исполнять обязанности начальника; начаникIлун хIалтте работать начальником; начаникIлун тIанде назначить начальником"
НАЩУ,НАЩУ,,"(-д, -дул)",бот. бутень (стебель),Саидова 2019 — Андалальский диалект,"(-д, -дул) бот. бутень (стебель); гьуэнаб нащу вкусный бутень; нащу бетте собирать (рвать) бутень"
НАЯ́,НАЯ́,,,"БИР (-алълъ, -алълъул) ноябрь",Саидова 2019 — Андалальский диалект,"БИР (-алълъ, -алълъул) ноябрь; наябиралълъ дуйнал цIцIорома в ноябре наступают холода"
НАЯ́,НАЯ́,,,БИРАЛЪЛЪУЛ 1. род. п. от ная́ бир 2. ноябрьский,Саидова 2019 — Андалальский диалект,БИРАЛЪЛЪУЛ 1. род. п. от ная́ бир 2. ноябрьский; наябиралълъул баразникI ноябрьские праздники
НЕ́,НЕ́,,,"Б/АГ (-гѝд, -гѝл, -гал) овца",Саидова 2019 — Андалальский диалект,"Б/АГ (-гѝд, -гѝл, -гал) овца; нижер россдал кулаказул гIазагIазарго небаг бугал гIиял руана у наших сельских кулаков были многотысячные отары овец"
НЕ́,НЕ́,,,"ГРА/В (-сс, -ссул) негр",Саидова 2019 — Андалальский диалект,"ГРА/В (-сс, -ссул) негр"
НЕ́,НЕ́,,,"ГРА/Й (-лълъ, -лълъул) негритянка",Саидова 2019 — Андалальский диалект,"ГРА/Й (-лълъ, -лълъул) негритянка"
НЕ́,НЕ́,,,"ГРА/Л (-з, -зул) негры",Саидова 2019 — Андалальский диалект,"ГРА/Л (-з, -зул) негры; негразул ватан родина негров; негразул кьурди негритянский танец"
НЕКЬ,НЕКЬ,,"(-алълъ, -алълъул, ну́ кьдул)",петля (дверная),Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, ну́ кьдул) петля (дверная); нуцIцIида нукьдул раде навесить дверь на петли"
НЕ́,НЕ́,,,"МЦА/В (-сс, -ссул) немец",Саидова 2019 — Андалальский диалект,"МЦА/В (-сс, -ссул) немец"
НЕ́,НЕ́,,,"МЦА/Й (-лълъ, -лълъул) немка",Саидова 2019 — Андалальский диалект,"МЦА/Й (-лълъ, -лълъул) немка"
НЕ́,НЕ́,,,"МЦА/Л (-з, -зул) немцы",Саидова 2019 — Андалальский диалект,"МЦА/Л (-з, -зул) немцы"
НЕ́,НЕ́,,,"ХIИ (-д, -дул) бот. овес; нехIи бекьде сеять овес; чвазе нехIи баде засыпать лошадям овса;",Саидова 2019 — Андалальский диалект,"ХIИ (-д, -дул) бот. овес; нехIи бекьде сеять овес; чвазе нехIи баде засыпать лошадям овса; сал., куд., руг., кд. нѝгьа, об., бух., хин., бух., суг. нихIа́ -НИ частица -то; къутIибни тиларо кето на улице-то не оставим кошку; дилълъани гьеб убадубула я-то это выполню"
НИ́ГАТ,НИ́ГАТ,,"(-алълъ, -алълъул, -ал)",1) намерение совершить что-л.,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -ал) 1) намерение совершить что-л.; цель, замысел; дир нигат буго рукъзаби кикав васассе теде я намерен оставить дом младшему сыну 2) рел. приступление к какому-л. религиозному обряду; нигат гьубуде приступить к совершению намаза -НИГИ частица отрицания; лълъидниги бицчIо никому не сказал; кибниги баччо нигде не нашел; кидниги бихьчIо никогда не видел"
НИГIМА́,НИГIМА́,,,"Т (-алълъ, -алълъул, -ал) еда, съестное",Саидова 2019 — Андалальский диалект,"Т (-алълъ, -алълъул, -ал) еда, съестное; бала-балаял нигIматал разные яства; нигIматал гьарза гьуреги, балагьал рикIкIад гьуреги пожел. пусть будет много съестного, пусть отступят несчастья"
НИЖ,НИЖ,,(неже́ лълъ(а),", неже́ р) мест. личн. мы (без тебя, без вас)",Саидова 2019 — Андалальский диалект,"(неже́ лълъ(а), неже́ р) мест. личн. мы (без тебя, без вас); ниж цIцIаламал руго мы учимся; нежелълъа гъутIби чIчIана мы посадили деревья; нежер росулълъ гIемерал гIалимзаби руго в нашем селении много ученых; нежее ихтилат бокьама мы любим веселье"
НИ́КИЛ,НИ́КИЛ,,"(-алълъ, -алълъул)",мин. никель,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул) мин. никель; никил биччаде покрыть никелем; никил биччараб самавар никелированный самовар"
НИКIКI,НИКIКI,,"(-ид, -ил, -ал)","зоол. овод; слепень; никIкIил моцIцI месяц овода (жаркий месяц, когда появляются оводы);",Саидова 2019 — Андалальский диалект,"(-ид, -ил, -ал) зоол. овод; слепень; никIкIил моцIцI месяц овода (жаркий месяц, когда появляются оводы); кд., хин. никк"
НИЛГЬ,НИЛГЬ,,"(-ѝд, -ѝл, -ал)",серп; кIудаб нилгь большой серп; нилгьид ролълъ хваде серпом жать пшеницу;,Саидова 2019 — Андалальский диалект,"(-ѝд, -ѝл, -ал) серп; кIудаб нилгь большой серп; нилгьид ролълъ хваде серпом жать пшеницу; кд., куд., сал., руг., кег. нил, суг., об. нилъ, хин. ххирѝцен"
НИЛГЬА́,НИЛГЬА́,,,ЛХIАМА//НИЛГЬА́ ЛДУЛ,Саидова 2019 — Андалальский диалект,ЛХIАМА//НИЛГЬА́ ЛДУЛ
ХI/АМА,ХI/АМА,,"(-имид, -имил, -би)",подбородок;,Саидова 2019 — Андалальский диалект,"(-имид, -имил, -би) подбородок; кд., сал. нѝлгьо, куд. нилгьа́ долхIама, бух., хин. нилгьа́ дулхIама, руг., бух., куд. нѝлгьу, суг. рилъа́ дулхIама, нѝлгьулхIама, меге́ ж, кег. зокIно́"
НИ́ЛГЬУМАЦIЦI,НИ́ЛГЬУМАЦIЦI,,"(-алълъ, -алълъул, -ал)",нижняя часть головы зарезанного животного (букв. подбородок и язык); нилгьумацIцI чIчIулхIде опалить нижнюю челюсть животного;,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -ал) нижняя часть головы зарезанного животного (букв. подбородок и язык); нилгьумацIцI чIчIулхIде опалить нижнюю челюсть животного; кд. нѝлгьомацц, хин. нѝлгьимацц, сал. нѝлгьо, суг. рѝлъумацIцI, куд. нѝлгьомацIцI"
НИЛЪЛЪ,НИЛЪЛЪ,,(нелълъе́ лълъ(а),", нелълъе́ р) мест. личн. мы (с тобой, с вами)",Саидова 2019 — Андалальский диалект,"(нелълъе́ лълъ(а), нелълъе́ р) мест. личн. мы (с тобой, с вами); жакъа нилълъ рикъир чIчIела сегодня мы останемся дома; нелълъелълъа бахIарал гьурула мы справим свадьбу; нелълъер хIурибе хIама щон буго // щоммуго на нашей пашне пасется осел; кидуго нелълъее бокьухе буамаро не бывает всегда так, как мы хотим; нелълъехе кагъат бигьун буго к нам пришло письмо; нелълъее хвараб чадада бихьларо посл. то, что суждено нам, не коснётся других"
НИ́С/У,НИ́С/У,,"(-уд//а́ лд, -а́ лдул)",творог (специального приготовления),Саидова 2019 — Андалальский диалект,"(-уд//а́ лд, -а́ лдул) творог (специального приготовления); ханкIазда цадах нису квенде хинкал есть с творогом"
НИ́СУ-НАХI,НИ́СУ-НАХI,,"(-алълъ, -алълъул)",собир. молочные продукты,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул) собир. молочные продукты; ццере нисунахI гьубуде хIайналгин мархьула чIчIамал руана раньше со скотом жили на хуторах, чтобы заготовить молочные продукты"
НИХЬ,НИХЬ,,"(-алълъ, -алълъул, -ал)",зоол. личинка овода (отложенная под кожей крупного рогатого скота и развивающаяся там до лета),Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -ал) зоол. личинка овода (отложенная под кожей крупного рогатого скота и развивающаяся там до лета); нихьал тутида ралълъарал жал руго личинки внешне похожи на ягоды тутовника; гIакдал мугъзаласса нихьал рахде извлекать личинки со спины коровы"
НИ́ХЬО,НИ́ХЬО,,,суг. веник,Саидова 2019 — Андалальский диалект,суг. веник
НИЦIЦIИ́К,НИЦIЦIИ́К,,"(-ид, -ил, -ал)",пренебр. вшивый человек,Саидова 2019 — Андалальский диалект,"(-ид, -ил, -ал) пренебр. вшивый человек"
НИЧ,НИЧ,,"(-алълъ, -алълъул)",стыд; нич бахде лишиться стыда; нич гьечIав чи бесстыжий человек; дуда нич гьечIищ? не стыдно тебе?,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул) стыд; нич бахде лишиться стыда; нич гьечIав чи бесстыжий человек; дуда нич гьечIищ? не стыдно тебе? суг. нуч"
НИ́ЧГЬЕЧIУГО,НИ́ЧГЬЕЧIУГО,,,"нареч. нагло, нахально, без стыда",Саидова 2019 — Андалальский диалект,"нареч. нагло, нахально, без стыда; ничгьечIуго кIалгьаде ригьамаро нельзя нахально разговаривать"
НИ́Ч-ЛАМУС,НИ́Ч-ЛАМУС,,"(-алълъ, -алълъул)",собир. стыд и совесть,Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул) собир. стыд и совесть; нич-ламус бугав совестливый"
НОДО́,НОДО́,,"(нада́ лд, нада́ лдул, нада́ л)",лоб,Саидова 2019 — Андалальский диалект,"(нада́ лд, нада́ лдул, нада́ л) лоб; кIудаб нодо высокий лоб; нодо букIкIде а) морщить лобь б) нахмурить лоб в) перен. встречать без охоты; нодо бакьулълъ жо щведе попасть прямо в лоб; надалдасса гIелʼ инлълъде вытереть пот со лба; нодо багьдегIан какал раде молиться с усердием (букв. молиться пока лоб продырявится); гьоболассе нодо букIкIде бигьамаро перед гостем нельзя нахмурить лоб, т.е. принять гостя неохотно"
НОДО́,НОДО́,,,ХАХIАБ белолобый,Саидова 2019 — Андалальский диалект,"ХАХIАБ белолобый; нодохахIаб гIака белолобая корова, корова с белым пятном на лбу"
НОЛʼ,НОЛʼ,,,"О (-д, -дул) 1) шиповник, дикая роза; нолʼ о тIогьон буго шиповник зацвёл; нолʼ одул заз шипы шиповника; нолʼ одул тIе цветок шиповника 2) ягоды шиповника; нолʼ о бакIарде собирать ягоды шиповника; нолʼ одул чай чай из ягод шиповника;",Саидова 2019 — Андалальский диалект,"О (-д, -дул) 1) шиповник, дикая роза; нолʼ о тIогьон буго шиповник зацвёл; нолʼ одул заз шипы шиповника; нолʼ одул тIе цветок шиповника 2) ягоды шиповника; нолʼ о бакIарде собирать ягоды шиповника; нолʼ одул чай чай из ягод шиповника; хин., кд., бух. гIентIѝ, кег., куд. ноно́ , руг. гIенлѝ, сал. эгIнѝ"
НО́,НО́,,,"МИР (-алълъ, -алълъул, -ал) номер",Саидова 2019 — Андалальский диалект,"МИР (-алълъ, -алълъул, -ал) номер; рокъалълъул номир номер дома; гезеталълъул номир номер газеты"
НО́,НО́,,,"РМА (-ялълъ, -ялълъул, -би) норма",Саидова 2019 — Андалальский диалект,"РМА (-ялълъ, -ялълъул, -би) норма; хIалтIул норма чIчIедубуде установить норму работы"
НОСО́,НОСО́,,,Л 1. род. п. от нус 2. ножевой,Саидова 2019 — Андалальский диалект,Л 1. род. п. от нус 2. ножевой; носол ругъун ножевая рана
НОХО́,НОХО́,,"(-д, -дул, но́ хаби)","1) пещера; кьурул нохо скалистая пещера; къасси небгал ноходир тама ночью овец оставляют в пещере 2) название местности, где расположен хутор Абакар-Хажи (Абакар-ХIажиссул нохо); нохабазда кьерун, кьурабалълъ вахчун вуана Камалил Башир таился в пещерах, прятался в скалах красавец Камалил Башир;",Саидова 2019 — Андалальский диалект,"(-д, -дул, но́ хаби) 1) пещера; кьурул нохо скалистая пещера; къасси небгал ноходир тама ночью овец оставляют в пещере 2) название местности, где расположен хутор Абакар-Хажи (Абакар-ХIажиссул нохо); нохабазда кьерун, кьурабалълъ вахчун вуана Камалил Башир таился в пещерах, прятался в скалах красавец Камалил Башир; бух., кег., куд., сал. нохъо́ , руг. цIцIа́ дкквел"
НОХО-КЪЕ,НОХО-КЪЕ,,"(-д, -дул)",собир. укрытие,Саидова 2019 — Андалальский диалект,"(-д, -дул) собир. укрытие; нохо-къе бугаб бакI место, где есть укрытие (букв. пещера и стена); нохо-къе бугабах бурхьалги руама в пещерных местах и змеи водятся"
НУ,НУ,,,межд. гьа,Саидова 2019 — Андалальский диалект,"межд. гьа; гьа, байбихье! ну, начинай! гьа, биция цо ккараб жойлълъул ну, расскажи-ка о случившемся"
НУГЪА́,НУГЪА́,,,Й ногайский,Саидова 2019 — Андалальский диалект,Й ногайский; нугъай мацIцI ногайский язык
НУГЪА́,НУГЪА́,,,"Т (-алълъ, -алълъул) вид, внешность",Саидова 2019 — Андалальский диалект,"Т (-алълъ, -алълъул) вид, внешность; берцинаб нугъаталълъул красивой внешности"
НУГЪА́,НУГЪА́,,,"Я/В (-сс, -ссул, -л) ногаец",Саидова 2019 — Андалальский диалект,"Я/В (-сс, -ссул, -л) ногаец"
НУГЪА́,НУГЪА́,,,"Я/Й (-лълъ, -лълъул, -л) ногайка",Саидова 2019 — Андалальский диалект,"Я/Й (-лълъ, -лълъул, -л) ногайка"
НУГЪА́,НУГЪА́,,,"Я/Л (-з, -зул) ногайцы",Саидова 2019 — Андалальский диалект,"Я/Л (-з, -зул) ногайцы"
НУГI,НУГI,,"(-асс//-алълъ, -ассул // -алълъул, -за́ би)",свидетель и свидетельница,Саидова 2019 — Андалальский диалект,"(-асс//-алълъ, -ассул // -алълъул, -за́ би) свидетель и свидетельница; ссудалълъа нугI кIалгьана свидетель выступил на суде"
НУ́,НУ́,,,"ГIЛИ (-ялълъ, -ялълъул) свидетельство, показание",Саидова 2019 — Андалальский диалект,"ГIЛИ (-ялълъ, -ялълъул) свидетельство, показание; нугIли гьубуде свидетельствовать, выступить свидетелем"
НУЖ,НУЖ,,(-е́ лълъ(а),", -е́ р) мест. личн. вы",Саидова 2019 — Андалальский диалект,"(-е́ лълъ(а), -е́ р) мест. личн. вы; нуж кире вамал? куда вы идете? нуж кини ругал? как вы? как ваши дела? нужелълъа дача бичанищ? вы продали дачу? нужее рисантте ракьищ? вы хотите танцевать? нужеда моцIцIкквей бихьанищ? вы видели затмение луны? нужер мархьи киби бугаб? где находится ваш хутор? нужер мацIцI дида бичIчIамаро я не понимаю вашего языка, я не владею вашим языком"
НУКА́,НУКА́,,,"Р (-асс, -ассул, -заби) нукер (телохранитель, всадник особого назначения при начальнике)",Саидова 2019 — Андалальский диалект,"Р (-асс, -ассул, -заби) нукер (телохранитель, всадник особого назначения при начальнике); ханассул нукар нукер хана"
НУКА́,НУКА́,,,"РЛИ (-ялълъ, -ялълъул) нукерство",Саидова 2019 — Андалальский диалект,"РЛИ (-ялълъ, -ялълъул) нукерство; должность, служба нукера; нукарли гьубуде служить нукером"
НУ́,НУ́,,,"КЬДУ/Л (-з, -зул) мн. от некь",Саидова 2019 — Андалальский диалект,"КЬДУ/Л (-з, -зул) мн. от некь"
НУКIУ,НУКIУ,,,"нареч. в старину, в прежнее время, в давнюю эпоху; нукIу баллаяб цIцIали буана раньше была другая учеба; нукIу баллаяб релэл раамагIан раньше одевались иначе, раньше одевали другую одежду;",Саидова 2019 — Андалальский диалект,"нареч. в старину, в прежнее время, в давнюю эпоху; нукIу баллаяб цIцIали буана раньше была другая учеба; нукIу баллаяб релэл раамагIан раньше одевались иначе, раньше одевали другую одежду; суг. зебе, бух., руг. нокIо́ , ост. ццебе́"
НУКIУ́,НУКIУ́,,,"ГО нареч. давно, давным давно; гьеб дида нукIуго рагIана я это давно слышал; дилълъа хIалтIи нукIуго тана я давно оставил работу; нукIуго рарал рукъзаби давно построенные дома;",Саидова 2019 — Андалальский диалект,"ГО нареч. давно, давным давно; гьеб дида нукIуго рагIана я это давно слышал; дилълъа хIалтIи нукIуго тана я давно оставил работу; нукIуго рарал рукъзаби давно построенные дома; суг. зебе́ го, бух., руг. нокIо́ го, ост. ццебе́ го"
НУКIУ́,НУКIУ́,,,"ЗАМАН (-алълъ, -алълъул) давнее время, давно прошедшее время",Саидова 2019 — Андалальский диалект,"ЗАМАН (-алълъ, -алълъул) давнее время, давно прошедшее время; нукIузаманалълъул адамал люди прошедших лет; нукIузаманалълъ росулълъ адамал гIемерал руана в старину, раньше в селении проживало много народу, много людей"
НУКIУ́,НУКIУ́,,,"ССАБ давний, давнишний; старинный; нукIуссаб гIадат давний обычай; нукIуссал адамал люди давнишних времен; нукIуссаб релэл старинная одежда; нукIуссаб макъан старинная мелодия;",Саидова 2019 — Андалальский диалект,"ССАБ давний, давнишний; старинный; нукIуссаб гIадат давний обычай; нукIуссал адамал люди давнишних времен; нукIуссаб релэл старинная одежда; нукIуссаб макъан старинная мелодия; сал., хин., руг. нокIо́ ссеб, суг. зебе́ ссаб, кд., куд. ццебе́ ссеб, бух. нокIо́ ссаб"
НУКIКIЛА́,НУКIКIЛА́,,,Л 1. род. п. от накIкI1 2. облачный,Саидова 2019 — Андалальский диалект,Л 1. род. п. от накIкI1 2. облачный
НУКIКIУ́,НУКIКIУ́,,,"ЛКЬЕРАБ серый, серого цвета",Саидова 2019 — Андалальский диалект,"ЛКЬЕРАБ серый, серого цвета; нукIкIулкьераб къехь шкура серого цвета"
НУНУ́,НУНУ́,,,"ДИ 1. масд. многокр. гл. нуну́ тте 2. (-ялълъ, -ялълъул) бормотание",Саидова 2019 — Андалальский диалект,"ДИ 1. масд. многокр. гл. нуну́ тте 2. (-ялълъ, -ялълъул) бормотание"
НУНУ́,НУНУ́,,,"/ТТЕ (-дама, -лла, -дана, -де) бормотать",Саидова 2019 — Андалальский диалект,"/ТТЕ (-дама, -лла, -дана, -де) бормотать; мун нунудамав щумани? почему ты бормочешь под нос?"
НУР,НУР,,"(-алълъ, -алълъул, -ал)","свет, луч",Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -ал) свет, луч; сияние; блеск; букъул нур сияние солнца; бирзул нур а) свет очей; беразул нур босде ослепнуть; букъул нуралълъ рокъ гвангъдубуна луч солнца осветил комнату б) перен. дорогой, любимый; свет очей (моих);"
НУ́,НУ́,,,"РАЛЪЛЪУЛХIУБИ (-д, -дул) радуга; нуралълъулхIуби бихьде (у)видеть радугу;",Саидова 2019 — Андалальский диалект,"РАЛЪЛЪУЛХIУБИ (-д, -дул) радуга; нуралълъулхIуби бихьде (у)видеть радугу; хин. ну́ рчIор, кег. ну́ ралълъул кIаму́ ри, бух. нур"
НУС1,НУС,1,"(носо́ д, носо́ л, -ал)",нож,Саидова 2019 — Андалальский диалект,"(носо́ д, носо́ л, -ал) нож; бегIераб нус острый нож; кIичIвав нус складной ножик; хьатазул устарассул нус нож сапожника; нус къутIиб бахде вытащить нож; нус къадубуде воткнуть нож; нус кIичIваде складывать нож; нус бегIелдубуде наточить нож; носол палгь лезвие ножа"
НУС2,НУС,2,"(-алълъ, -алълъул, -а́ би)","невестка, сноха",Саидова 2019 — Андалальский диалект,"(-алълъ, -алълъул, -а́ би) невестка, сноха; нусалълъ россассул хIурмат гьубума невестка уважает мужа (своего); нусалълъда бичIчIде ясалълъда абама погов. обычно дочку ругают, чтобы невестка поняла; нусаби барщини, ваццалги барщама погов. если ссорятся невестки, не общаются и братья"
НУС3,НУС,3,,краткая форма от ну́ сго,Саидова 2019 — Андалальский диалект,"краткая форма от ну́ сго; нусил бутIа сотая доля, одна сотая; нусиде бикьде разделить на сто"
НУ́,НУ́,,,САБГО числ. все сто,Саидова 2019 — Андалальский диалект,САБГО числ. все сто; нусабго чаху къунцIде постричь все сто овец  нусабго лага весь организм
НУ́,НУ́,,,САБИЛАБ числ. сотый,Саидова 2019 — Андалальский диалект,"САБИЛАБ числ. сотый; нусабилаб номир сотый номер; нусабилаб эхь къутIиб биччаде издать, выпустить сотую книгу"
НУ́,НУ́,,,"САЛЪЛЪУЛ ЭБЕ́ /Л (-лълъ, -лълъул, улбу́ л) тёща",Саидова 2019 — Андалальский диалект,"САЛЪЛЪУЛ ЭБЕ́ /Л (-лълъ, -лълъул, улбу́ л) тёща"
НУ́,НУ́,,,"СГО (-ялълъ, -ялълъул) числ. сто",Саидова 2019 — Андалальский диалект,"СГО (-ялълъ, -ялълъул) числ. сто; нусго гъурущ сто рублей; нусго сон сто лет; нусго цIараки бугаб росу аул в сто дворов (букв. дымов); нусцIул боце, цен къотIе посл. сто раз отмерь, один раз отрежь"
НУ́,НУ́,,,СГIАЗАРАБИЛАБ числ. стотысячный,Саидова 2019 — Андалальский диалект,СГIАЗАРАБИЛАБ числ. стотысячный
НУ́,НУ́,,,СГIАЗАРАЛЪЛЪА числ. сто тысяч (служит для образования составных числительных) нусгIазаралълъа кIинуселда къола кIиго сто тысяч двести двадцать два,Саидова 2019 — Андалальский диалект,СГIАЗАРАЛЪЛЪА числ. сто тысяч (служит для образования составных числительных) нусгIазаралълъа кIинуселда къола кIиго сто тысяч двести двадцать два
НУ́,НУ́,,,СГIАЗАРГО числ. сто тысяч,Саидова 2019 — Андалальский диалект,СГIАЗАРГО числ. сто тысяч; нусгIазарго гIанкIо сто тысяч кур
